况鸥捞芭	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	1	1	1	1	1	10	1	-1	-1	0	1	14801	18068	18005	18310	18313						1	6	14	1	1						16900	14420	14801	18310	18313	1	200	200	60	140	0	0	0	0	0
墓矫	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	2	2	1	1	1	10	2	-1	-1	0	1	14802	18026	18047	18311	18312						1	14	6	1	1						16901	14420	14802	18311	18312	1	200	200	140	60	0	0	0	0	0
扼农箕荤	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	3	3	1	1	1	10	3	-1	-1	0	1	14803	18047	18026	18311	18312						1	6	14	1	1						16902	14420	14803	18311	18312	1	200	200	60	140	0	0	0	0	0
况墓	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	4	4	1	1	1	10	4	-1	-1	0	1	14804	18005	18068	18310	18313						1	10	10	1	1						16903	14420	14804	18310	18313	1	200	200	100	100	0	0	0	0	0
匙内付鸥	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	5	5	1	1	1	10	5	-1	-1	0	1	14805	18005	18068	18310	18313						1	14	6	1	1						16904	14420	14805	18310	18313	1	200	200	140	60	0	0	0	0	0
饭捞叼 钮福	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	6	6	1	1	1	10	6	-1	-1	0	1	14806	18026	18047	18311	18312						1	10	10	1	1						16905	14423	14806	18311	18312	1	200	200	100	100	0	0	0	0	0
纳捞宏 海绢	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	11	11	1	1	1	10	11	-1	-1	0	1	14807	18005	18026	18310	18311						1	16	4	1	1						16906	14420	14807	18310	18311	1	200	200	160	40	0	0	0	0	0
胶漠房 海绢	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12	12	1	1	1	10	12	-1	-1	0	1	14808	18047	18068	18312	18313						1	16	4	1	1						16907	14420	14808	18312	18313	1	200	200	160	40	0	0	0	0	0
弃扼 海绢	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	13	13	1	1	1	10	13	-1	-1	0	1	14809	18026	18005	18311	18310						1	4	16	1	1						16908	14420	14809	18311	18310	1	200	200	40	160	0	0	0	0	0
饭靛 酒捞	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	14	14	1	1	1	10	14	-1	-1	0	1	14810	18068	18047	18313	18312						1	4	16	1	1						16909	14420	14810	18313	18312	1	200	200	40	160	0	0	0	0	0
埔歹	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	15	15	1	1	1	1	15	-1	-1	0	1	14811	18005	18026	18310	18311						1	10	10	1	1						16910	14420	14811	18310	18311	1	200	200	100	100	0	0	0	0	0
畴目	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	21	21	1	1	1	1	21	-1	-1	0	1	14812	18005	18310								1	20	2								16911	14420	14812	18310		1	200	200	200		0	0	0	0	0
唱捞飘皋绢	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	22	22	1	1	1	1	22	-1	-1	0	1	14813	18026	18311								1	20	2								16912	14420	14813	18311		1	200	200	200		0	0	0	0	0
其捞农 阀	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	23	23	1	1	1	1	23	-1	-1	0	1	14814	18047	18312								1	20	2								16913	14420	14814	18312		1	200	200	200		0	0	0	0	0
墨骸努	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	24	24	1	1	1	1	24	-1	-1	0	1	14815	18068	18313								1	20	2								16914	14420	14815	18313		1	200	200	200		0	0	0	0	0
钮	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	25	25	1	1	1	1	25	-1	-1	0	1	14816	18005	18026	18310	18311						1	10	10	1	1						16915	14420	14816	18310	18311	1	200	200	100	100	0	0	0	0	0
欧 钮	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	26	26	1	1	1	1	26	-1	-1	0	1	14817	18047	18068	18312	18313						1	10	10	1	1						16916	14420	14817	18312	18313	1	200	200	100	100	0	0	0	0	0
奶海肺胶	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	31	31	1	1	1	10	31	-1	-1	0	1	14818	18026	18047	18311	18312						1	12	8	1	1						16917	14420	14818	18311	18312	1	200	200	120	80	0	0	0	0	0
奇副	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	32	32	1	1	1	10	32	-1	-1	0	1	14819	18005	18026	18310	18311						1	12	8	1	1						16918	14420	14819	18310	18311	1	200	200	120	80	0	0	0	0	0
